campaign_type,Platform,content_type,total_spend,Impressions,Engagement,Engagement_Rate,Log_Spend_Total,Log_Impressions,Log_Engagement
Bau,Instagram,Paid - Brand,6279.66,238671,11130,0.04663323151953945,8.745230349481496,12.382845503393712,9.317489287493226
Mm,Instagram,Influencer - Cfg - Boosted Only,29276.63,387275,27725,0.07158995545800788,10.284579022176267,12.8668928961157,10.23012588009832
Bau,Meta,Influencer - Ogilvy - Boosted Only,31850.85,590837,27713,0.0469046454436672,10.368850744085824,13.289297147137637,10.22969297965866
Flood The Feed,Meta,Influencer - Ogilvy - Boosted Only,6726.7,472847,22204,0.04695810695637278,8.813988610884552,13.06652926276357,10.008072767726203
Bau,Instagram,Influencer - Ogilvy - Organic Only,189.04,36481,1461,0.040048244291549025,5.2472345763187205,10.50457426724686,7.2875606403097235
Bau,Tiktok,Paid - Brand,1282.5,228225,12037,0.05274181180852229,7.157346000311195,12.338091645064607,9.395823592107716
Bau,Meta,Influencer - Cfg - Boosted Only,763.54,166408,14878,0.08940675929041873,6.639274345779321,12.022203892445082,9.607706101827697
Flood The Feed,Instagram,Paid - Brand,2124.59,460683,11537,0.02504325099906009,7.661804689880529,13.040467620561854,9.353401214816834
Bau,Instagram,Influencer - Ogilvy - Boosted Only,1317.41,273392,13936,0.0509744250014631,7.184181744077898,12.518665599432872,9.54230245311951
Flood The Feed,Instagram,Influencer - Ogilvy - Organic Only,216.09,145454,8955,0.06156585587195952,5.380312014100664,11.887622039406756,9.100078977718645
Bau,Tiktok,Owned - Boosted Only,1208.87,1015529,66754,0.06573322869164741,7.0982681948023805,13.830921201663706,11.108784479824195
Mm,Instagram,Paid - Brand,609.98,452481,12046,0.026622112309688143,6.415064225411629,13.022503262325387,9.396570945266852
Flood The Feed,Meta,Owned - Boosted Only,4077.73,141033,3749,0.026582431062233663,8.313540944432438,11.856756275043766,8.229511118964457
Mm,Tiktok,Influencer - Cfg - Boosted Only,4004.97,1106358,111813,0.10106403171486987,8.295541027430874,13.916585001523856,11.62459205547691
Mm,Meta,Paid - Brand,2506.21,310310,5735,0.01848151848151848,7.8269258601068845,12.645330299373088,8.654517382279456
Mm,Meta,Paid - Brand,1012.56,269103,10642,0.03954619606619027,6.921224164929101,12.502853200967214,9.272657678041044
Mm,Tiktok,Influencer - Ogilvy - Organic Only,209.27,84329,7806,0.09256602117895386,5.348392419180343,11.342492952568687,8.962776046120291
Bau,Tiktok,Influencer - Ogilvy - Boosted Only,1673.0,301927,32646,0.10812547403842651,7.422971251049421,12.617943857336655,10.393508246868931
Flood The Feed,Tiktok,Paid - Brand,13995.61,1483435,55356,0.03731609406546293,9.546570436418937,14.209871576562318,10.921558398071735
Bau,Tiktok,Influencer - Ogilvy - Organic Only,108.94,237673,26752,0.11255801037560009,4.699934762432514,12.378655265792274,10.194401895568575
Flood The Feed,Tiktok,Influencer - Ogilvy - Organic Only,91.91,310568,18719,0.06027343448133742,4.531631282653221,12.646161377890191,9.837347750031583
Flood The Feed,Tiktok,Influencer - Cfg - Boosted Only,495.56,1556466,224446,0.14420231473093534,6.207704322105397,14.25792906722562,12.32139487811496
Bau,Instagram,Paid - Brand,2675.75,454039,19433,0.042800288080979826,7.892358651038379,13.025940578869276,9.874779388399384
Bau,Instagram,Paid - Partnership,1132.66,275822,21001,0.076139684289143,7.0332066156984485,12.527514634627869,9.95237295026594
Bau,Meta,Paid - Brand,2824.99,796890,10458,0.013123517674961413,7.946614024667794,13.588473185558732,9.255218130754269
Mm,Tiktok,Owned - Boosted Only,10227.69,469799,28346,0.06033644175487815,9.232951796005006,13.06006235120695,10.252276483450736
Mm,Instagram,Influencer - Cfg - Boosted Only,3420.84,122216,8787,0.07189729658964457,8.137933697076154,11.713553432246817,9.081142433504501
Mm,Tiktok,Influencer - Cfg - Boosted Only,5093.24,1744559,143361,0.08217606856517894,8.535865768681623,14.372012932826626,11.873128179004302
Mm,Instagram,Influencer - Ogilvy - Boosted Only,886.48,222465,21079,0.09475198345807205,6.788385985884382,12.312529559923185,9.956080002655298
Flood The Feed,Instagram,Paid - Brand,4881.1,335545,15029,0.04478981954730364,8.493330734151563,12.723514334788169,9.61780348274702
Flood The Feed,Instagram,Influencer - Cfg - Boosted Only,3448.23,1080722,67236,0.06221396436826492,8.14590629670937,13.89314081956687,11.115978970227394
Flood The Feed,Instagram,Influencer - Cfg - Boosted Only,1823.49,462576,22901,0.04950754038255335,7.509055774907796,13.044568308563766,10.038979521973285
Mm,Meta,Owned - Boosted Only,4647.94,358666,14224,0.039658066278933604,8.44439451560601,12.790149660403355,9.562756258994531
