campaign_type,Platform,content_type,total_spend,Impressions,Engagement
BAU,INSTAGRAM,PAID - BRAND,6279.66,238671,11130
MM,INSTAGRAM,INFLUENCER - CFG - BOOSTED ONLY,29276.63,387275,27725
BAU,META,INFLUENCER - OGILVY - BOOSTED ONLY,31850.85,590837,27713
FLOOD THE FEED,META,INFLUENCER - OGILVY - BOOSTED ONLY,6726.7,472847,22204
BAU,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,189.04,36481,1461
BAU,TIKTOK,PAID - BRAND,1282.5,228225,12037
BAU,META,INFLUENCER - CFG - BOOSTED ONLY,763.54,166408,14878
FLOOD THE FEED,INSTAGRAM,PAID - BRAND,2124.59,460683,11537
BAU,INSTAGRAM,INFLUENCER - OGILVY - BOOSTED ONLY,1317.41,273392,13936
FLOOD THE FEED,INSTAGRAM,INFLUENCER - OGILVY - ORGANIC ONLY,216.09,145454,8955
BAU,TIKTOK,OWNED - BOOSTED ONLY,1208.87,1015529,66754
MM,INSTAGRAM,PAID - BRAND,609.98,452481,12046
FLOOD THE FEED,META,OWNED - BOOSTED ONLY,4077.73,141033,3749
MM,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,4004.97,1106358,111813
MM,META,PAID - BRAND,2506.21,310310,5735
MM,META,PAID - BRAND,1012.56,269103,10642
MM,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,209.27,84329,7806
BAU,TIKTOK,INFLUENCER - OGILVY - BOOSTED ONLY,1673.0,301927,32646
FLOOD THE FEED,TIKTOK,PAID - BRAND,13995.61,1483435,55356
BAU,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,108.94,237673,26752
FLOOD THE FEED,TIKTOK,INFLUENCER - OGILVY - ORGANIC ONLY,91.91,310568,18719
FLOOD THE FEED,TIKTOK,INFLUENCER - CFG - BOOSTED ONLY,495.56,1556466,224446
BAU,INSTAGRAM,PAID - BRAND,2675.75,454039,19433
BAU,INSTAGRAM,PAID - PARTNERSHIP,1132.66,275822,21001
BAU,META,PAID - BRAND,2824.99,796890,10458
